order_id,order_date,product_id,product_name,category,option_size,option_color,quantity,unit_price,line_revenue,customer_id,channel
O25031200001,2025-03-12,P101,데일리 베이직 티셔츠,상의,XS,코랄,1,15900,15900,C00143,web
O25031200002,2025-03-12,P101,데일리 베이직 티셔츠,상의,XS,카키,1,15900,15900,C00433,web
O25031500003,2025-03-15,P101,데일리 베이직 티셔츠,상의,XL,아이보리,1,15900,15900,C04465,web
O25031600004,2025-03-16,P101,데일리 베이직 티셔츠,상의,L,카키,1,15900,15900,C00054,web
O25031700005,2025-03-17,P101,데일리 베이직 티셔츠,상의,S,그레이,1,15900,15900,C01274,web
O25031700006,2025-03-17,P101,데일리 베이직 티셔츠,상의,S,코랄,1,15900,15900,C00390,web
O25031700007,2025-03-17,P101,데일리 베이직 티셔츠,상의,XS,코랄,1,15900,15900,C04946,web
O25031800008,2025-03-18,P101,데일리 베이직 티셔츠,상의,XS,그레이,1,15900,15900,C03101,web
O25032000009,2025-03-20,P101,데일리 베이직 티셔츠,상의,XL,코랄,1,15900,15900,C00570,web
O25032200010,2025-03-22,P101,데일리 베이직 티셔츠,상의,M,아이보리,1,15900,15900,C00828,web
O25032300011,2025-03-23,P101,데일리 베이직 티셔츠,상의,L,코랄,1,15900,15900,C00364,web
O25032400012,2025-03-24,P101,데일리 베이직 티셔츠,상의,M,아이보리,1,15900,15900,C01402,web
O25032500013,2025-03-25,P101,데일리 베이직 티셔츠,상의,S,네이비,1,15900,15900,C02212,web
O25032500014,2025-03-25,P101,데일리 베이직 티셔츠,상의,XL,네이비,1,15900,15900,C00459,web
O25032600015,2025-03-26,P101,데일리 베이직 티셔츠,상의,XS,코랄,1,15900,15900,C00543,web
O25032700016,2025-03-27,P101,데일리 베이직 티셔츠,상의,XL,코랄,1,15900,15900,C00512,web
O25032800017,2025-03-28,P101,데일리 베이직 티셔츠,상의,L,네이비,1,15900,15900,C02021,web
O25032900018,2025-03-29,P101,데일리 베이직 티셔츠,상의,XL,코랄,1,15900,15900,C03510,web
O25032900019,2025-03-29,P101,데일리 베이직 티셔츠,상의,XL,그레이,1,15900,15900,C01134,web
O25033000020,2025-03-30,P101,데일리 베이직 티셔츠,상의,XS,아이보리,1,15900,15900,C01253,web
O25033000021,2025-03-30,P101,데일리 베이직 티셔츠,상의,S,그레이,1,15900,15900,C03153,web
O25033100022,2025-03-31,P101,데일리 베이직 티셔츠,상의,L,카키,1,15900,15900,C04533,web
O25040100023,2025-04-01,P101,데일리 베이직 티셔츠,상의,XS,아이보리,1,15900,15900,C04399,web
O25040100024,2025-04-01,P101,데일리 베이직 티셔츠,상의,M,코랄,1,15900,15900,C00446,web
O25040100025,2025-04-01,P101,데일리 베이직 티셔츠,상의,S,그레이,1,15900,15900,C00270,web
O25040200026,2025-04-02,P101,데일리 베이직 티셔츠,상의,S,카키,1,15900,15900,C05123,web
O25040200027,2025-04-02,P101,데일리 베이직 티셔츠,상의,M,카키,1,15900,15900,C01253,web
O25040200028,2025-04-02,P101,데일리 베이직 티셔츠,상의,M,네이비,1,15900,15900,C04345,web
O25040200029,2025-04-02,P101,데일리 베이직 티셔츠,상의,XS,카키,1,15900,15900,C00160,web
O25040200030,2025-04-02,P101,데일리 베이직 티셔츠,상의,XS,코랄,1,15900,15900,C02520,web
O25040300031,2025-04-03,P101,데일리 베이직 티셔츠,상의,S,카키,1,15900,15900,C00702,web
O25040400032,2025-04-04,P101,데일리 베이직 티셔츠,상의,XS,카키,1,15900,15900,C01052,web
O25040400033,2025-04-04,P101,데일리 베이직 티셔츠,상의,L,카키,1,15900,15900,C00541,web
O25040400034,2025-04-04,P101,데일리 베이직 티셔츠,상의,XL,그레이,1,15900,15900,C04418,web
O25040500035,2025-04-05,P101,데일리 베이직 티셔츠,상의,S,코랄,1,15900,15900,C03060,web
O25040500036,2025-04-05,P101,데일리 베이직 티셔츠,상의,L,카키,1,15900,15900,C02031,web
O25040500037,2025-04-05,P101,데일리 베이직 티셔츠,상의,S,아이보리,1,15900,15900,C04820,web
O25040600038,2025-04-06,P101,데일리 베이직 티셔츠,상의,XL,네이비,1,15900,15900,C00061,web
O25040600039,2025-04-06,P101,데일리 베이직 티셔츠,상의,S,아이보리,1,15900,15900,C02707,web
O25040800040,2025-04-08,P101,데일리 베이직 티셔츠,상의,L,네이비,1,15900,15900,C04678,web
O25040900041,2025-04-09,P101,데일리 베이직 티셔츠,상의,S,그레이,1,15900,15900,C01560,web
O25040900042,2025-04-09,P101,데일리 베이직 티셔츠,상의,XS,아이보리,1,15900,15900,C02903,web
O25041000043,2025-04-10,P101,데일리 베이직 티셔츠,상의,L,아이보리,1,15900,15900,C00807,web
O25041100044,2025-04-11,P102,프릴 카라 블라우스,상의,XL,코랄,1,32000,32000,C00445,web
O25041200045,2025-04-12,P101,데일리 베이직 티셔츠,상의,XS,네이비,1,15900,15900,C00550,web
O25041200046,2025-04-12,P101,데일리 베이직 티셔츠,상의,L,네이비,1,15900,15900,C02282,web
O25041200047,2025-04-12,P101,데일리 베이직 티셔츠,상의,L,네이비,1,15900,15900,C00618,web
O25041200048,2025-04-12,P102,프릴 카라 블라우스,상의,XL,코랄,1,32000,32000,C05078,web
O25041200049,2025-04-12,P102,프릴 카라 블라우스,상의,XL,코랄,1,32000,32000,C00935,web
O25041300050,2025-04-13,P101,데일리 베이직 티셔츠,상의,XL,아이보리,1,15900,15900,C00554,web
O25041300051,2025-04-13,P101,데일리 베이직 티셔츠,상의,XS,아이보리,1,15900,15900,C01937,web
O25041400052,2025-04-14,P101,데일리 베이직 티셔츠,상의,L,그레이,1,15900,15900,C00411,web
O25041400053,2025-04-14,P102,프릴 카라 블라우스,상의,S,코랄,1,32000,32000,C05191,web
O25041500054,2025-04-15,P101,데일리 베이직 티셔츠,상의,S,그레이,1,15900,15900,C00400,web
O25041500055,2025-04-15,P101,데일리 베이직 티셔츠,상의,M,그레이,1,15900,15900,C04553,web
O25041500056,2025-04-15,P101,데일리 베이직 티셔츠,상의,L,네이비,1,15900,15900,C00223,web
O25041500057,2025-04-15,P101,데일리 베이직 티셔츠,상의,XS,카키,1,15900,15900,C00500,web
O25041500058,2025-04-15,P102,프릴 카라 블라우스,상의,L,카키,1,32000,32000,C00871,web
O25041500059,2025-04-15,P102,프릴 카라 블라우스,상의,S,네이비,1,32000,32000,C03353,web
O25041500060,2025-04-15,P102,프릴 카라 블라우스,상의,S,코랄,1,32000,32000,C01537,web
O25041600061,2025-04-16,P101,데일리 베이직 티셔츠,상의,XS,아이보리,1,15900,15900,C04120,web
O25041600062,2025-04-16,P101,데일리 베이직 티셔츠,상의,XL,네이비,1,15900,15900,C00521,web
O25041600063,2025-04-16,P101,데일리 베이직 티셔츠,상의,XS,네이비,1,15900,15900,C00070,web
O25041700064,2025-04-17,P101,데일리 베이직 티셔츠,상의,S,그레이,1,15900,15900,C00584,web
O25041700065,2025-04-17,P101,데일리 베이직 티셔츠,상의,S,카키,1,15900,15900,C05074,web
O25041700066,2025-04-17,P102,프릴 카라 블라우스,상의,M,그레이,1,32000,32000,C01562,web
O25041700067,2025-04-17,P102,프릴 카라 블라우스,상의,L,아이보리,1,32000,32000,C00381,web
O25041800068,2025-04-18,P102,프릴 카라 블라우스,상의,S,그레이,1,32000,32000,C04828,web
O25041800069,2025-04-18,P102,프릴 카라 블라우스,상의,M,그레이,1,32000,32000,C00050,web
O25041800070,2025-04-18,P102,프릴 카라 블라우스,상의,XL,카키,1,32000,32000,C04165,web
O25041900071,2025-04-19,P101,데일리 베이직 티셔츠,상의,XL,카키,1,15900,15900,C02137,web
O25041900072,2025-04-19,P101,데일리 베이직 티셔츠,상의,S,코랄,1,15900,15900,C00406,web
O25041900073,2025-04-19,P102,프릴 카라 블라우스,상의,M,카키,1,32000,32000,C00132,web
O25041900074,2025-04-19,P102,프릴 카라 블라우스,상의,S,그레이,1,32000,32000,C04966,web
O25042000075,2025-04-20,P102,프릴 카라 블라우스,상의,XL,그레이,1,32000,32000,C02034,web
O25042000076,2025-04-20,P102,프릴 카라 블라우스,상의,L,그레이,1,32000,32000,C02410,web
O25042000077,2025-04-20,P102,프릴 카라 블라우스,상의,XL,네이비,1,32000,32000,C00525,web
