media_id,timestamp,caption,media_type,permalink,reach,saved,likes,comments,shares,total_interactions,product_ids
IGM000,2025-10-14T10:00:00+0000,여름 데일리룩 #헤어밴드 #아동복 #키즈코디 [P601],IMAGE,https://instagram.com/p/000,4200,312,416,52,52,520,P601
IGM001,2025-11-11T10:00:00+0000,가을 니트 비니 #비니 #키즈패션 #데일리룩 [P602],IMAGE,https://instagram.com/p/001,3800,233,328,41,41,410,P602
IGM002,2025-12-09T10:00:00+0000,프릴 블라우스 신상 #블라우스 #키즈룩 [P102],IMAGE,https://instagram.com/p/002,5100,109,208,26,26,260,P102
IGM003,2026-01-06T10:00:00+0000,플라워 원피스 #원피스 #여름코디 #키즈 [P401],IMAGE,https://instagram.com/p/003,6200,345,512,64,64,640,P401
IGM004,2026-02-03T10:00:00+0000,레깅스 2종 #레깅스 #데일리 #실용템 [P203],IMAGE,https://instagram.com/p/004,3300,59,144,18,18,180,P203
IGM005,2026-03-03T10:00:00+0000,베이직 티셔츠 재입고 #베이직 #키즈아이템 [P101],IMAGE,https://instagram.com/p/005,2900,36,96,12,12,120,P101
IGM006,2026-03-31T10:00:00+0000,맨투맨 코디 #맨투맨 #가을코디 [P104],IMAGE,https://instagram.com/p/006,3100,45,120,15,15,150,P104
IGM007,2026-04-28T10:00:00+0000,상하세트 추천 #세트 #선물추천 [P501],IMAGE,https://instagram.com/p/007,3600,117,240,30,30,300,P501
IGM008,2026-05-26T10:00:00+0000,헤어밴드 컬러 5종 #헤어밴드 #포인트템 [P601],IMAGE,https://instagram.com/p/008,4800,384,488,61,61,610,P601
IGM009,2026-06-23T10:00:00+0000,린넨 원피스 #린넨 #여름원피스 [P402],IMAGE,https://instagram.com/p/009,2700,42,112,14,14,140,P402
