product_id,product_name,category,launch_date,list_price,sale_price,status,available_sizes
P101,데일리 베이직 티셔츠,상의,2025-03-12,19000,15900,active,XS|S|M|L|XL
P102,프릴 카라 블라우스,상의,2025-04-11,32000,32000,soldout,S|M|L|XL
P103,스트라이프 긴팔티,상의,2025-08-11,24000,21000,active,XS|S|M|L
P104,고밀도 맨투맨,상의,2025-11-10,34000,29000,active,S|M|L|XL|2XL
P105,루즈핏 니트,상의,2026-02-09,39000,39000,active,S|M|L
P201,코튼 조거 팬츠,하의,2025-05-11,29000,24000,active,XS|S|M|L|XL
P202,데님 오버올,하의,2025-09-10,46000,39000,active,S|M|L
P203,레깅스 2종세트,하의,2025-12-10,22000,18000,soldout,XS|S|M|L
P301,경량 패딩 베스트,아우터,2025-06-11,59000,52000,active,S|M|L|XL
P302,후드 집업 점퍼,아우터,2025-10-10,54000,48000,active,S|M|L|XL
P401,플라워 원피스,원피스,2025-07-11,42000,36000,soldout,S|M|L
P402,린넨 셔츠 원피스,원피스,2026-01-10,47000,47000,active,S|M|L
P501,상하 세트 (티+팬츠),세트,2025-08-11,49000,42000,active,S|M|L|XL
P502,잠옷 세트,세트,2025-11-10,33000,28000,active,XS|S|M|L
P601,코튼 헤어밴드,악세서리,2026-03-11,12000,9900,soldout,S|M
P602,니트 비니,악세서리,2026-04-11,16000,13000,active,S|M|L
